clinic_id,month,treated_clinic,post,did,wait_minutes,patient_volume,staff_count,region
C01,1,1,0,0,29.62,399.0,12,North
C01,2,1,0,0,33.4,444.0,11,North
C01,3,1,0,0,35.86,510.0,11,North
C01,4,1,0,0,33.21,487.0,11,North
C01,5,1,0,0,31.99,500.0,11,North
C01,6,1,0,0,33.14,518.0,10,North
C01,7,1,0,0,35.09,474.0,12,North
C01,8,1,0,0,36.47,427.0,10,North
C01,9,1,0,0,34.81,516.0,10,North
C01,10,1,1,1,29.72,558.0,12,North
C01,11,1,1,1,33.3,535.0,11,North
C01,12,1,1,1,33.96,583.0,12,North
C01,13,1,1,1,28.13,485.0,11,North
C01,14,1,1,1,34.71,594.0,11,North
C01,15,1,1,1,33.59,568.0,11,North
C01,16,1,1,1,28.57,575.0,13,North
C01,17,1,1,1,31.6,613.0,12,North
C01,18,1,1,1,34.11,693.0,13,North
C02,1,1,0,0,33.63,493.0,9,South
C02,2,1,0,0,29.33,494.0,8,South
C02,3,1,0,0,30.15,460.0,7,South
C02,4,1,0,0,29.72,445.0,8,South
C02,5,1,0,0,31.78,488.0,8,South
C02,6,1,0,0,31.22,471.0,9,South
C02,7,1,0,0,30.96,536.0,8,South
C02,8,1,0,0,27.41,514.0,9,South
C02,9,1,0,0,33.94,512.0,7,South
C02,10,1,1,1,21.05,542.0,10,South
C02,11,1,1,1,21.3,621.0,10,South
C02,12,1,1,1,23.53,529.0,10,South
C02,13,1,1,1,24.16,561.0,10,South
C02,14,1,1,1,28.53,592.0,10,South
C02,15,1,1,1,28.51,586.0,8,South
C02,16,1,1,1,24.51,601.0,9,South
C02,17,1,1,1,24.89,597.0,10,South
C02,18,1,1,1,26.98,600.0,9,South
C03,1,1,0,0,32.5,533.0,9,East
C03,2,1,0,0,36.45,502.0,9,East
C03,3,1,0,0,38.92,495.0,8,East
C03,4,1,0,0,34.49,428.0,8,East
C03,5,1,0,0,33.43,499.0,9,East
C03,6,1,0,0,37.49,499.0,8,East
C03,7,1,0,0,38.47,523.0,9,East
C03,8,1,0,0,39.09,471.0,7,East
C03,9,1,0,0,35.8,511.0,8,East
C03,10,1,1,1,30.51,547.0,10,East
C03,11,1,1,1,34.48,528.0,8,East
C03,12,1,1,1,32.44,525.0,10,East
C03,13,1,1,1,27.91,568.0,9,East
C03,14,1,1,1,31.32,498.0,9,East
C03,15,1,1,1,36.58,617.0,10,East
C03,16,1,1,1,25.96,619.0,10,East
C03,17,1,1,1,33.44,561.0,10,East
C03,18,1,1,1,33.45,600.0,9,East
C04,1,1,0,0,37.51,416.0,12,North
C04,2,1,0,0,37.15,486.0,14,North
C04,3,1,0,0,37.54,479.0,14,North
C04,4,1,0,0,33.69,464.0,14,North
C04,5,1,0,0,37.46,430.0,12,North
C04,6,1,0,0,36.58,525.0,13,North
C04,7,1,0,0,40.38,547.0,14,North
C04,8,1,0,0,38.24,516.0,12,North
C04,9,1,0,0,42.42,561.0,14,North
C04,10,1,1,1,32.4,577.0,15,North
C04,11,1,1,1,33.71,577.0,14,North
C04,12,1,1,1,39.61,525.0,13,North
C04,13,1,1,1,30.62,523.0,14,North
C04,14,1,1,1,35.92,560.0,15,North
C04,15,1,1,1,32.81,520.0,14,North
C04,16,1,1,1,36.61,558.0,13,North
C04,17,1,1,1,31.41,565.0,14,North
C04,18,1,1,1,38.89,637.0,15,North
C05,1,1,0,0,29.7,492.0,12,South
C05,2,1,0,0,28.42,501.0,12,South
C05,3,1,0,0,32.91,476.0,10,South
C05,4,1,0,0,33.71,454.0,12,South
C05,5,1,0,0,30.57,446.0,12,South
C05,6,1,0,0,32.38,450.0,12,South
C05,7,1,0,0,28.65,581.0,12,South
C05,8,1,0,0,34.86,517.0,11,South
C05,9,1,0,0,32.35,518.0,10,South
C05,10,1,1,1,26.93,593.0,12,South
C05,11,1,1,1,22.18,546.0,13,South
C05,12,1,1,1,27.46,482.0,13,South
C05,13,1,1,1,29.69,549.0,11,South
C05,14,1,1,1,23.8,550.0,13,South
C05,15,1,1,1,25.69,582.0,13,South
C05,16,1,1,1,31.03,569.0,12,South
C05,17,1,1,1,25.97,601.0,12,South
C05,18,1,1,1,27.15,516.0,13,South
C06,1,1,0,0,29.05,422.0,14,East
C06,2,1,0,0,34.75,413.0,13,East
C06,3,1,0,0,31.98,492.0,13,East
C06,4,1,0,0,34.2,426.0,13,East
C06,5,1,0,0,38.03,555.0,13,East
C06,6,1,0,0,34.71,520.0,14,East
C06,7,1,0,0,33.24,480.0,12,East
C06,8,1,0,0,34.22,513.0,13,East
C06,9,1,0,0,35.94,591.0,13,East
C06,10,1,1,1,27.04,537.0,14,East
C06,11,1,1,1,30.26,586.0,13,East
C06,12,1,1,1,36.96,572.0,13,East
C06,13,1,1,1,31.64,605.0,13,East
C06,14,1,1,1,29.78,559.0,15,East
C06,15,1,1,1,33.19,607.0,14,East
C06,16,1,1,1,27.69,603.0,15,East
