market_id,quarter,post,exposure,retention_rate,marketing_spend,competitor_price,digital_maturity,revenue_per_user
M01,1,0,3.87,56.97,43.58,20.0,0.356,38.77
M01,2,0,3.87,55.86,58.77,19.06,0.356,36.14
M01,3,0,3.87,56.55,57.71,18.67,0.356,38.51
M01,4,0,3.87,55.51,55.23,17.95,0.356,39.63
M01,5,1,3.87,60.71,56.06,17.71,0.356,42.14
M01,6,1,3.87,63.68,65.56,19.15,0.356,44.51
M01,7,1,3.87,61.74,70.54,18.17,0.356,43.64
M01,8,1,3.87,66.25,60.42,16.47,0.356,43.66
M02,1,0,3.01,58.9,62.56,16.93,0.047,34.19
M02,2,0,3.01,58.76,56.27,19.18,0.047,33.87
M02,3,0,3.01,57.04,46.96,19.76,0.047,31.88
M02,4,0,3.01,57.14,49.98,17.89,0.047,37.29
M02,5,1,3.01,62.33,55.41,15.84,0.047,39.48
M02,6,1,3.01,62.83,60.43,18.39,0.047,38.25
M02,7,1,3.01,64.17,58.71,20.13,0.047,43.16
M02,8,1,3.01,62.64,57.7,16.64,0.047,44.16
M03,1,0,8.45,57.29,57.1,18.63,-1.056,39.3
M03,2,0,8.45,60.23,67.6,16.93,-1.056,41.38
M03,3,0,8.45,57.02,60.69,19.97,-1.056,40.55
M03,4,0,8.45,58.29,65.73,17.66,-1.056,38.45
M03,5,1,8.45,67.14,70.59,17.67,-1.056,51.57
M03,6,1,8.45,64.95,61.46,19.11,-1.056,53.36
M03,7,1,8.45,64.43,75.73,16.99,-1.056,53.72
M03,8,1,8.45,67.85,77.05,17.49,-1.056,54.89
M04,1,0,7.17,58.96,55.65,17.69,-0.816,36.54
M04,2,0,7.17,56.03,62.56,16.85,-0.816,40.68
M04,3,0,7.17,57.06,63.26,17.81,-0.816,39.55
M04,4,0,7.17,58.8,66.2,16.23,-0.816,41.02
M04,5,1,7.17,63.37,65.02,18.62,-0.816,48.15
M04,6,1,7.17,61.6,67.71,19.25,-0.816,53.33
M04,7,1,7.17,61.24,69.72,18.06,-0.816,50.3
M04,8,1,7.17,63.97,76.69,17.6,-0.816,52.29
M05,1,0,4.08,57.01,44.99,15.59,-0.477,34.02
M05,2,0,4.08,54.59,45.82,15.69,-0.477,37.16
M05,3,0,4.08,56.69,62.33,17.57,-0.477,36.08
M05,4,0,4.08,57.35,58.3,18.14,-0.477,37.51
M05,5,1,4.08,61.82,63.52,18.2,-0.477,41.24
M05,6,1,4.08,60.64,64.83,19.27,-0.477,46.61
M05,7,1,4.08,62.67,62.06,17.7,-0.477,48.26
M05,8,1,4.08,63.74,61.21,17.17,-0.477,45.85
M06,1,0,5.01,56.95,45.91,19.06,-0.98,36.35
M06,2,0,5.01,58.54,55.58,17.47,-0.98,37.44
M06,3,0,5.01,58.9,59.01,17.11,-0.98,39.8
M06,4,0,5.01,61.24,64.7,18.07,-0.98,39.06
M06,5,1,5.01,62.05,67.48,18.77,-0.98,40.69
M06,6,1,5.01,62.05,67.44,17.76,-0.98,43.8
M06,7,1,5.01,64.22,70.72,17.49,-0.98,46.25
M06,8,1,5.01,62.42,64.74,18.98,-0.98,48.47
M07,1,0,3.53,56.29,48.65,18.98,0.399,35.83
M07,2,0,3.53,57.2,50.73,16.74,0.399,36.47
M07,3,0,3.53,58.0,46.53,16.22,0.399,36.06
M07,4,0,3.53,56.68,62.0,17.27,0.399,34.2
M07,5,1,3.53,61.12,72.6,18.59,0.399,41.18
M07,6,1,3.53,60.19,61.21,17.87,0.399,39.9
M07,7,1,3.53,59.86,58.15,19.84,0.399,40.81
M07,8,1,3.53,64.44,62.91,16.73,0.399,42.58
M08,1,0,4.4,56.14,55.78,18.05,0.46,37.61
M08,2,0,4.4,55.28,59.39,20.19,0.46,35.75
M08,3,0,4.4,57.97,58.35,17.26,0.46,36.29
M08,4,0,4.4,57.41,47.45,19.55,0.46,38.48
M08,5,1,4.4,62.54,60.53,17.72,0.46,41.8
M08,6,1,4.4,65.1,67.93,16.95,0.46,44.66
M08,7,1,4.4,63.88,64.36,17.36,0.46,45.81
M08,8,1,4.4,63.9,57.57,17.09,0.46,45.67
M09,1,0,9.2,57.28,68.87,19.82,-0.027,44.08
M09,2,0,9.2,58.98,64.28,18.19,-0.027,41.07
M09,3,0,9.2,60.33,77.41,16.96,-0.027,39.49
M09,4,0,9.2,58.28,72.21,18.2,-0.027,40.87
M09,5,1,9.2,66.96,66.28,16.25,-0.027,56.94
M09,6,1,9.2,68.03,82.3,17.29,-0.027,56.77
M09,7,1,9.2,68.2,84.95,16.15,-0.027,53.07
M09,8,1,9.2,70.25,78.83,17.23,-0.027,55.77
M10,1,0,0.15,50.77,45.13,20.25,-0.085,35.18
M10,2,0,0.15,52.51,47.84,19.89,-0.085,34.78
M10,3,0,0.15,55.2,44.53,18.69,-0.085,31.79
M10,4,0,0.15,56.97,50.18,17.45,-0.085,30.63
M10,5,1,0.15,57.29,42.55,16.29,-0.085,31.64
M10,6,1,0.15,55.25,49.84,19.2,-0.085,33.66
M10,7,1,0.15,55.53,60.99,17.03,-0.085,32.9
M10,8,1,0.15,57.5,59.68,18.47,-0.085,33.27
M11,1,0,1.3,53.49,46.05,19.02,0.264,33.41
M11,2,0,1.3,54.05,39.74,18.8,0.264,33.41
M11,3,0,1.3,53.7,55.48,18.43,0.264,30.24
M11,4,0,1.3,56.98,52.76,17.63,0.264,33.94
M11,5,1,1.3,57.02,62.38,16.57,0.264,37.49
M11,6,1,1.3,60.07,54.45,18.74,0.264,37.78
M11,7,1,1.3,59.14,54.6,17.62,0.264,37.83
M11,8,1,1.3,56.7,59.4,19.52,0.264,39.17
M12,1,0,4.93,54.65,49.6,16.69,0.385,37.15
M12,2,0,4.93,55.46,56.61,17.44,0.385,38.0
M12,3,0,4.93,57.49,65.47,16.52,0.385,37.99
M12,4,0,4.93,54.78,56.73,18.21,0.385,39.88
M12,5,1,4.93,58.6,62.76,19.01,0.385,45.29
M12,6,1,4.93,59.96,71.93,20.62,0.385,45.9
M12,7,1,4.93,61.63,62.48,17.31,0.385,44.0
M12,8,1,4.93,62.1,69.98,18.78,0.385,48.89
M13,1,0,4.16,53.94,49.06,18.71,-0.102,31.68
M13,2,0,4.16,54.34,49.98,18.39,-0.102,40.96
M13,3,0,4.16,56.48,47.07,17.86,-0.102,38.02
M13,4,0,4.16,56.14,64.08,18.09,-0.102,39.72
M13,5,1,4.16,58.91,56.7,18.47,-0.102,45.78
M13,6,1,4.16,61.34,64.22,18.03,-0.102,40.53
M13,7,1,4.16,58.6,66.31,19.87,-0.102,48.68
M13,8,1,4.16,59.64,59.46,18.02,-0.102,44.81
M14,1,0,7.38,60.71,60.68,18.51,-0.427,41.12
M14,2,0,7.38,61.38,60.32,17.4,-0.427,42.19
M14,3,0,7.38,58.5,64.26,17.72,-0.427,37.77
M14,4,0,7.38,60.53,63.92,17.54,-0.427,39.14
M14,5,1,7.38,67.44,67.13,17.92,-0.427,51.66
M14,6,1,7.38,66.12,71.84,18.91,-0.427,49.09
M14,7,1,7.38,65.35,72.42,19.21,-0.427,51.84
M14,8,1,7.38,66.0,68.8,17.2,-0.427,52.61
