store_id,month,treated_store,post,did,sales,foot_traffic,ad_spend,region,store_size
ST001,1,1,0,0,144.41,890.4,57.43,North,small
ST001,2,1,0,0,147.98,889.8,66.85,North,small
ST001,3,1,0,0,146.85,952.9,60.71,North,small
ST001,4,1,0,0,156.35,954.0,62.04,North,small
ST001,5,1,0,0,149.4,951.4,73.73,North,small
ST001,6,1,0,0,148.84,964.3,68.33,North,small
ST001,7,1,0,0,146.9,992.9,70.76,North,small
ST001,8,1,0,0,150.29,995.8,75.49,North,small
ST001,9,1,0,0,150.58,1069.5,84.21,North,small
ST001,10,1,0,0,151.6,1049.7,76.38,North,small
ST001,11,1,0,0,160.69,1128.8,87.88,North,small
ST001,12,1,0,0,158.84,1073.8,91.38,North,small
ST001,13,1,1,1,171.84,1099.2,95.65,North,small
ST001,14,1,1,1,175.62,1142.1,106.98,North,small
ST001,15,1,1,1,180.12,1167.0,103.92,North,small
ST001,16,1,1,1,180.74,1147.6,117.93,North,small
ST001,17,1,1,1,177.6,1164.1,109.76,North,small
ST001,18,1,1,1,181.88,1221.4,114.98,North,small
ST001,19,1,1,1,180.69,1235.8,119.64,North,small
ST001,20,1,1,1,178.86,1204.1,126.14,North,small
ST001,21,1,1,1,179.4,1293.5,119.59,North,small
ST001,22,1,1,1,183.4,1281.4,127.46,North,small
ST001,23,1,1,1,183.98,1278.0,132.07,North,small
ST001,24,1,1,1,186.93,1270.9,144.89,North,small
ST002,1,1,0,0,142.6,879.5,62.15,South,medium
ST002,2,1,0,0,144.8,900.3,66.34,South,medium
ST002,3,1,0,0,149.58,905.1,66.59,South,medium
ST002,4,1,0,0,151.48,969.7,65.29,South,medium
ST002,5,1,0,0,149.36,966.3,74.41,South,medium
ST002,6,1,0,0,146.42,972.9,66.63,South,medium
ST002,7,1,0,0,149.6,1039.9,74.67,South,medium
ST002,8,1,0,0,148.08,1016.4,87.13,South,medium
ST002,9,1,0,0,150.81,1052.7,79.76,South,medium
ST002,10,1,0,0,148.33,1002.2,87.04,South,medium
ST002,11,1,0,0,153.19,1040.8,88.71,South,medium
ST002,12,1,0,0,160.35,1131.3,99.07,South,medium
ST002,13,1,1,1,173.87,1133.6,103.52,South,medium
ST002,14,1,1,1,176.92,1096.7,97.1,South,medium
ST002,15,1,1,1,177.45,1120.8,109.17,South,medium
ST002,16,1,1,1,174.9,1136.6,104.2,South,medium
ST002,17,1,1,1,174.6,1120.9,109.61,South,medium
ST002,18,1,1,1,175.88,1203.3,112.8,South,medium
ST002,19,1,1,1,171.55,1181.8,123.54,South,medium
ST002,20,1,1,1,177.82,1219.9,122.81,South,medium
ST002,21,1,1,1,178.17,1223.8,122.06,South,medium
ST002,22,1,1,1,183.73,1277.5,120.56,South,medium
ST002,23,1,1,1,178.23,1210.3,128.82,South,medium
ST002,24,1,1,1,187.27,1301.4,130.99,South,medium
ST003,1,1,0,0,148.29,910.9,54.76,East,medium
ST003,2,1,0,0,155.61,931.5,60.07,East,medium
ST003,3,1,0,0,154.03,927.2,61.59,East,medium
ST003,4,1,0,0,156.48,980.8,68.03,East,medium
ST003,5,1,0,0,157.73,976.4,69.9,East,medium
ST003,6,1,0,0,155.01,976.5,71.58,East,medium
ST003,7,1,0,0,158.49,1028.1,74.82,East,medium
ST003,8,1,0,0,154.79,1055.3,75.0,East,medium
ST003,9,1,0,0,151.69,1040.0,83.11,East,medium
ST003,10,1,0,0,156.33,1098.1,82.64,East,medium
ST003,11,1,0,0,161.92,1099.6,88.51,East,medium
ST003,12,1,0,0,169.78,1152.1,90.6,East,medium
ST003,13,1,1,1,179.34,1149.8,99.3,East,medium
ST003,14,1,1,1,180.84,1104.8,96.52,East,medium
ST003,15,1,1,1,192.31,1180.8,114.2,East,medium
ST003,16,1,1,1,187.45,1226.7,115.28,East,medium
ST003,17,1,1,1,186.69,1207.8,112.5,East,medium
ST003,18,1,1,1,188.69,1261.2,116.18,East,medium
ST003,19,1,1,1,186.86,1265.2,118.43,East,medium
ST003,20,1,1,1,188.55,1235.0,132.24,East,medium
ST003,21,1,1,1,190.18,1342.9,122.43,East,medium
ST003,22,1,1,1,190.62,1325.9,122.92,East,medium
ST003,23,1,1,1,191.71,1319.6,124.28,East,medium
ST003,24,1,1,1,196.02,1370.6,128.92,East,medium
ST004,1,1,0,0,136.07,859.5,56.11,West,medium
ST004,2,1,0,0,137.95,878.3,57.68,West,medium
ST004,3,1,0,0,134.64,887.1,51.27,West,medium
ST004,4,1,0,0,136.94,903.5,67.46,West,medium
ST004,5,1,0,0,137.16,955.7,69.96,West,medium
ST004,6,1,0,0,141.03,949.0,73.56,West,medium
ST004,7,1,0,0,138.7,928.3,70.09,West,medium
ST004,8,1,0,0,135.06,925.8,74.12,West,medium
ST004,9,1,0,0,141.14,971.5,88.72,West,medium
ST004,10,1,0,0,142.61,1034.6,86.17,West,medium
ST004,11,1,0,0,147.04,1045.1,89.75,West,medium
ST004,12,1,0,0,146.08,1035.0,84.74,West,medium
ST004,13,1,1,1,157.43,1059.3,91.69,West,medium
ST004,14,1,1,1,165.94,1099.8,107.65,West,medium
ST004,15,1,1,1,168.1,1112.9,93.89,West,medium
ST004,16,1,1,1,167.5,1138.7,106.73,West,medium
