unit_id,month,cohort,treat_month,ever_treated,currently_treated,relative_time,outcome
U001,1,early,9.0,1,0,-8.0,72.34
U001,2,early,9.0,1,0,-7.0,72.19
U001,3,early,9.0,1,0,-6.0,72.33
U001,4,early,9.0,1,0,-5.0,73.95
U001,5,early,9.0,1,0,-4.0,73.26
U001,6,early,9.0,1,0,-3.0,72.58
U001,7,early,9.0,1,0,-2.0,75.48
U001,8,early,9.0,1,0,-1.0,73.42
U001,9,early,9.0,1,1,0.0,77.06
U001,10,early,9.0,1,1,1.0,78.01
U001,11,early,9.0,1,1,2.0,76.85
U001,12,early,9.0,1,1,3.0,80.67
U001,13,early,9.0,1,1,4.0,77.18
U001,14,early,9.0,1,1,5.0,83.06
U001,15,early,9.0,1,1,6.0,83.68
U001,16,early,9.0,1,1,7.0,82.88
U001,17,early,9.0,1,1,8.0,81.41
U001,18,early,9.0,1,1,9.0,82.94
U001,19,early,9.0,1,1,10.0,84.07
U001,20,early,9.0,1,1,11.0,82.63
U001,21,early,9.0,1,1,12.0,86.49
U001,22,early,9.0,1,1,13.0,85.58
U001,23,early,9.0,1,1,14.0,86.29
U001,24,early,9.0,1,1,15.0,86.21
U002,1,early,9.0,1,0,-8.0,70.76
U002,2,early,9.0,1,0,-7.0,67.92
U002,3,early,9.0,1,0,-6.0,72.01
U002,4,early,9.0,1,0,-5.0,72.68
U002,5,early,9.0,1,0,-4.0,73.72
U002,6,early,9.0,1,0,-3.0,73.4
U002,7,early,9.0,1,0,-2.0,72.86
U002,8,early,9.0,1,0,-1.0,73.29
U002,9,early,9.0,1,1,0.0,74.76
U002,10,early,9.0,1,1,1.0,73.66
U002,11,early,9.0,1,1,2.0,79.18
U002,12,early,9.0,1,1,3.0,77.94
U002,13,early,9.0,1,1,4.0,81.33
U002,14,early,9.0,1,1,5.0,79.25
U002,15,early,9.0,1,1,6.0,79.12
U002,16,early,9.0,1,1,7.0,81.38
U002,17,early,9.0,1,1,8.0,82.72
U002,18,early,9.0,1,1,9.0,84.06
U002,19,early,9.0,1,1,10.0,84.31
U002,20,early,9.0,1,1,11.0,84.11
U002,21,early,9.0,1,1,12.0,84.52
U002,22,early,9.0,1,1,13.0,85.52
U002,23,early,9.0,1,1,14.0,85.93
U002,24,early,9.0,1,1,15.0,83.06
U003,1,early,9.0,1,0,-8.0,72.43
U003,2,early,9.0,1,0,-7.0,70.23
U003,3,early,9.0,1,0,-6.0,71.41
U003,4,early,9.0,1,0,-5.0,71.25
U003,5,early,9.0,1,0,-4.0,69.07
U003,6,early,9.0,1,0,-3.0,73.13
U003,7,early,9.0,1,0,-2.0,74.21
U003,8,early,9.0,1,0,-1.0,71.96
U003,9,early,9.0,1,1,0.0,73.24
U003,10,early,9.0,1,1,1.0,74.86
U003,11,early,9.0,1,1,2.0,78.1
U003,12,early,9.0,1,1,3.0,76.41
U003,13,early,9.0,1,1,4.0,77.28
U003,14,early,9.0,1,1,5.0,79.84
U003,15,early,9.0,1,1,6.0,80.86
U003,16,early,9.0,1,1,7.0,80.89
U003,17,early,9.0,1,1,8.0,82.15
U003,18,early,9.0,1,1,9.0,81.2
U003,19,early,9.0,1,1,10.0,81.32
U003,20,early,9.0,1,1,11.0,80.69
U003,21,early,9.0,1,1,12.0,83.19
U003,22,early,9.0,1,1,13.0,83.59
U003,23,early,9.0,1,1,14.0,83.32
U003,24,early,9.0,1,1,15.0,82.36
U004,1,early,9.0,1,0,-8.0,70.97
U004,2,early,9.0,1,0,-7.0,69.9
U004,3,early,9.0,1,0,-6.0,70.91
U004,4,early,9.0,1,0,-5.0,71.49
U004,5,early,9.0,1,0,-4.0,69.46
U004,6,early,9.0,1,0,-3.0,71.75
U004,7,early,9.0,1,0,-2.0,70.49
U004,8,early,9.0,1,0,-1.0,72.39
U004,9,early,9.0,1,1,0.0,71.8
U004,10,early,9.0,1,1,1.0,72.68
U004,11,early,9.0,1,1,2.0,73.65
U004,12,early,9.0,1,1,3.0,75.25
U004,13,early,9.0,1,1,4.0,76.49
U004,14,early,9.0,1,1,5.0,77.94
U004,15,early,9.0,1,1,6.0,81.01
U004,16,early,9.0,1,1,7.0,81.23
U004,17,early,9.0,1,1,8.0,80.28
U004,18,early,9.0,1,1,9.0,81.3
U004,19,early,9.0,1,1,10.0,81.59
U004,20,early,9.0,1,1,11.0,82.88
U004,21,early,9.0,1,1,12.0,81.33
U004,22,early,9.0,1,1,13.0,84.27
U004,23,early,9.0,1,1,14.0,81.56
U004,24,early,9.0,1,1,15.0,82.89
U005,1,early,9.0,1,0,-8.0,72.16
U005,2,early,9.0,1,0,-7.0,69.73
U005,3,early,9.0,1,0,-6.0,70.47
U005,4,early,9.0,1,0,-5.0,72.35
U005,5,early,9.0,1,0,-4.0,73.34
U005,6,early,9.0,1,0,-3.0,71.71
U005,7,early,9.0,1,0,-2.0,71.82
U005,8,early,9.0,1,0,-1.0,70.64
U005,9,early,9.0,1,1,0.0,75.21
U005,10,early,9.0,1,1,1.0,74.16
U005,11,early,9.0,1,1,2.0,75.04
U005,12,early,9.0,1,1,3.0,77.16
U005,13,early,9.0,1,1,4.0,77.13
U005,14,early,9.0,1,1,5.0,79.7
U005,15,early,9.0,1,1,6.0,80.72
U005,16,early,9.0,1,1,7.0,81.92
U005,17,early,9.0,1,1,8.0,81.3
U005,18,early,9.0,1,1,9.0,81.33
U005,19,early,9.0,1,1,10.0,82.73
U005,20,early,9.0,1,1,11.0,83.39
U005,21,early,9.0,1,1,12.0,83.57
U005,22,early,9.0,1,1,13.0,85.69
U005,23,early,9.0,1,1,14.0,82.87
U005,24,early,9.0,1,1,15.0,85.65
U006,1,early,9.0,1,0,-8.0,71.38
U006,2,early,9.0,1,0,-7.0,73.48
U006,3,early,9.0,1,0,-6.0,72.9
U006,4,early,9.0,1,0,-5.0,74.06
