scenario,unit_id,time,relative_time,treated,post,did,outcome
valid_parallel,VAL_0_01,-4,-4,0,0,0,44.88
valid_parallel,VAL_0_01,-3,-3,0,0,0,45.01
valid_parallel,VAL_0_01,-2,-2,0,0,0,45.63
valid_parallel,VAL_0_01,-1,-1,0,0,0,46.29
valid_parallel,VAL_0_01,0,0,0,1,0,48.32
valid_parallel,VAL_0_01,1,1,0,1,0,49.08
valid_parallel,VAL_0_01,2,2,0,1,0,50.91
valid_parallel,VAL_0_01,3,3,0,1,0,53.44
valid_parallel,VAL_0_01,4,4,0,1,0,53.36
valid_parallel,VAL_0_02,-4,-4,0,0,0,43.68
valid_parallel,VAL_0_02,-3,-3,0,0,0,46.8
valid_parallel,VAL_0_02,-2,-2,0,0,0,47.13
valid_parallel,VAL_0_02,-1,-1,0,0,0,45.82
valid_parallel,VAL_0_02,0,0,0,1,0,49.54
valid_parallel,VAL_0_02,1,1,0,1,0,52.07
valid_parallel,VAL_0_02,2,2,0,1,0,50.94
valid_parallel,VAL_0_02,3,3,0,1,0,53.44
valid_parallel,VAL_0_02,4,4,0,1,0,54.31
valid_parallel,VAL_0_03,-4,-4,0,0,0,46.78
valid_parallel,VAL_0_03,-3,-3,0,0,0,46.43
valid_parallel,VAL_0_03,-2,-2,0,0,0,49.99
valid_parallel,VAL_0_03,-1,-1,0,0,0,50.85
valid_parallel,VAL_0_03,0,0,0,1,0,50.3
valid_parallel,VAL_0_03,1,1,0,1,0,52.36
valid_parallel,VAL_0_03,2,2,0,1,0,56.42
valid_parallel,VAL_0_03,3,3,0,1,0,57.85
valid_parallel,VAL_0_03,4,4,0,1,0,55.98
valid_parallel,VAL_0_04,-4,-4,0,0,0,46.81
valid_parallel,VAL_0_04,-3,-3,0,0,0,48.27
valid_parallel,VAL_0_04,-2,-2,0,0,0,47.67
valid_parallel,VAL_0_04,-1,-1,0,0,0,50.67
valid_parallel,VAL_0_04,0,0,0,1,0,51.21
valid_parallel,VAL_0_04,1,1,0,1,0,54.7
valid_parallel,VAL_0_04,2,2,0,1,0,53.13
valid_parallel,VAL_0_04,3,3,0,1,0,55.14
valid_parallel,VAL_0_04,4,4,0,1,0,54.85
valid_parallel,VAL_0_05,-4,-4,0,0,0,44.87
valid_parallel,VAL_0_05,-3,-3,0,0,0,44.95
valid_parallel,VAL_0_05,-2,-2,0,0,0,44.69
valid_parallel,VAL_0_05,-1,-1,0,0,0,47.87
valid_parallel,VAL_0_05,0,0,0,1,0,48.49
valid_parallel,VAL_0_05,1,1,0,1,0,49.45
valid_parallel,VAL_0_05,2,2,0,1,0,51.79
valid_parallel,VAL_0_05,3,3,0,1,0,52.76
valid_parallel,VAL_0_05,4,4,0,1,0,54.95
valid_parallel,VAL_0_06,-4,-4,0,0,0,43.03
valid_parallel,VAL_0_06,-3,-3,0,0,0,44.94
valid_parallel,VAL_0_06,-2,-2,0,0,0,44.84
valid_parallel,VAL_0_06,-1,-1,0,0,0,47.63
valid_parallel,VAL_0_06,0,0,0,1,0,50.09
valid_parallel,VAL_0_06,1,1,0,1,0,50.23
valid_parallel,VAL_0_06,2,2,0,1,0,51.55
valid_parallel,VAL_0_06,3,3,0,1,0,52.05
valid_parallel,VAL_0_06,4,4,0,1,0,55.18
valid_parallel,VAL_0_07,-4,-4,0,0,0,42.25
valid_parallel,VAL_0_07,-3,-3,0,0,0,42.46
valid_parallel,VAL_0_07,-2,-2,0,0,0,45.13
valid_parallel,VAL_0_07,-1,-1,0,0,0,45.11
valid_parallel,VAL_0_07,0,0,0,1,0,45.2
valid_parallel,VAL_0_07,1,1,0,1,0,48.59
