student_id,school_id,year,treated,post,did,score,attendance,baseline_score
S01_001,S01,2025,0,0,0,67.45,0.904,72.15
S01_001,S01,2026,0,1,0,71.9,0.87,72.15
S01_002,S01,2025,0,0,0,70.07,0.879,74.56
S01_002,S01,2026,0,1,0,73.29,0.867,74.56
S01_003,S01,2025,0,0,0,66.79,0.909,71.08
S01_003,S01,2026,0,1,0,69.04,0.89,71.08
S01_004,S01,2025,0,0,0,76.46,0.898,77.96
S01_004,S01,2026,0,1,0,74.04,0.893,77.96
S01_005,S01,2025,0,0,0,72.07,0.884,74.09
S01_005,S01,2026,0,1,0,72.6,0.946,74.09
S01_006,S01,2025,0,0,0,70.95,0.882,71.26
S01_006,S01,2026,0,1,0,69.97,0.924,71.26
S01_007,S01,2025,0,0,0,66.48,0.873,67.18
S01_007,S01,2026,0,1,0,68.97,0.873,67.18
S01_008,S01,2025,0,0,0,63.78,0.885,70.38
S01_008,S01,2026,0,1,0,69.44,0.885,70.38
S01_009,S01,2025,0,0,0,73.23,0.882,76.47
S01_009,S01,2026,0,1,0,81.62,0.878,76.47
S01_010,S01,2025,0,0,0,77.02,0.805,76.63
S01_010,S01,2026,0,1,0,80.26,0.882,76.63
S01_011,S01,2025,0,0,0,66.4,0.906,74.09
S01_011,S01,2026,0,1,0,74.48,0.924,74.09
S01_012,S01,2025,0,0,0,77.89,0.922,77.01
S01_012,S01,2026,0,1,0,79.1,0.901,77.01
S01_013,S01,2025,0,0,0,69.79,0.869,72.77
S01_013,S01,2026,0,1,0,72.2,0.888,72.77
S01_014,S01,2025,0,0,0,75.32,0.826,75.51
S01_014,S01,2026,0,1,0,74.85,0.878,75.51
S01_015,S01,2025,0,0,0,70.96,0.882,73.18
S01_015,S01,2026,0,1,0,72.3,0.847,73.18
S01_016,S01,2025,0,0,0,68.63,0.889,73.63
S01_016,S01,2026,0,1,0,74.16,0.962,73.63
S01_017,S01,2025,0,0,0,77.63,0.885,72.94
