store_id,date,week,units,revenue,price,promotion
S001,2026-01-01,1,166,1641.74,9.89,0
S002,2026-01-01,1,164,1656.4,10.1,0
S003,2026-01-01,1,181,1866.11,10.31,0
S004,2026-01-01,1,172,1783.64,10.37,0
S005,2026-01-01,1,231,2312.31,10.01,1
S006,2026-01-01,1,,2092.86,10.57,0
S007,2026-01-01,1,222,2366.52,10.66,0
S008,2026-01-01,1,225,2470.5,10.98,0
S001,2026-01-08,2,167,1573.14,9.42,0
S002,2026-01-08,2,178,1685.66,9.47,0
S003,2026-01-08,2,168,1601.04,9.53,0
S004,2026-01-08,2,213,2085.27,9.79,1
S005,2026-01-08,2,224,2226.56,9.94,0
S006,2026-01-08,2,215,2324.15,-2.99,0
S007,2026-01-08,2,229,2441.14,10.66,0
S008,2026-01-08,2,233,2409.22,10.34,0
S001,2026-01-15,3,177,1612.47,9.11,0
S002,2026-01-15,3,170,1599.7,9.41,0
S003,2026-01-15,3,218,2071.0,9.5,1
S004,2026-01-15,3,199,2051.69,10.31,0
S005,2026-01-15,3,189,1958.04,10.36,0
S006,2026-01-15,3,215,2294.05,10.67,0
S007,2026-01-15,3,216,,11.02,0
S008,2026-01-15,3,251,2632.99,10.49,1
S001,2026-01-22,4,161,1503.74,9.34,0
S002,2026-01-22,4,209,1972.96,9.44,1
S003,2026-01-22,4,203,1956.92,9.64,0
S004,2026-01-22,4,190,1911.4,10.06,0
S005,2026-01-22,4,218,2321.7,10.65,0
S006,2026-01-22,4,222,2308.8,10.4,0
S007,2026-01-22,4,247,2620.67,10.61,1
S008,2026-01-22,4,245,2557.8,1099.0,0
S001,2026-02-01,5,225,2074.5,9.22,1
S002,2026-02-01,5,189,1808.73,9.57,0
S003,2026-02-01,5,207,1949.94,9.42,0
S004,2026-02-01,5,199,1972.09,9.91,0
S005,2026-02-01,5,207,2094.84,10.12,0
S006,2026-02-01,5,250,2677.5,10.71,1
S007,2026-02-01,5,224,2403.52,10.73,0
S008,2026-02-01,5,243,2699.73,11.11,0
S001,2026-02-08,6,179,1745.25,9.75,0
S002,2026-02-08,6,186,1884.18,10.13,0
S003,2026-02-08,6,203,2046.24,10.08,0
S004,2026-02-08,6,211,2078.35,9.85,0
S005,2026-02-08,6,1650,2388.76,9.79,1
S006,2026-02-08,6,226,2402.38,10.63,0
S007,2026-02-08,6,240,2481.6,10.34,0
S008,2026-02-08,6,254,2730.5,10.75,0
S001,2026-02-15,7,177,1757.61,9.93,0
S002,2026-02-15,7,212,2136.96,10.08,0
S003,2026-02-15,7,226,2178.64,9.64,0
S004,2026-02-15,7,228,2282.28,10.01,1
S005,2026-02-15,7,205,2043.85,9.97,0
S006,2026-02-15,7,216,2337.12,10.82,0
S007,2026-02-15,7,263,2803.58,10.66,0
S008,2026-02-15,7,249,2646.87,10.63,0
S001,2026-02-22,8,187,1705.44,9.12,0
S002,2026-02-22,8,196,1858.08,9.48,0
S003,2026-02-22,8,231,2252.25,9.75,1
S004,2026-02-22,8,205,2134.05,10.41,0
S005,2026-02-22,8,221,2170.22,9.82,0
S006,2026-02-22,8,237,2398.44,10.12,0
S007,2026-02-22,8,226,2427.24,10.74,0
S008,2026-02-22,8,270,2951.1,10.93,1
S001,2026-03-01,9,203,1932.56,9.52,0
S002,2026-03-01,9,226,2176.38,9.63,1
S003,2026-03-01,9,204,2070.6,10.15,0
S004,2026-03-01,9,217,2167.83,9.99,0
S005,2026-03-01,9,226,2323.28,10.28,0
S006,2026-03-01,9,235,2467.5,10.5,0
S007,2026-03-01,9,266,2758.42,10.37,1
S008,2026-03-01,9,271,2964.74,10.94,0
S001,2026-03-08,10,242,2262.7,9.35,1
S002,2026-03-08,10,209,1947.88,9.32,0
S003,2026-03-08,10,221,2207.79,9.99,0
S004,2026-03-08,10,204,1986.96,9.74,0
S005,2026-03-08,10,224,2311.68,10.32,0
S006,2026-03-08,10,258,2654.82,10.29,1
S007,2026-03-08,10,252,2646.0,10.5,0
S008,2026-03-08,10,260,2857.4,10.99,0
S001,2026-03-15,11,209,2025.21,9.69,0
S002,2026-03-15,11,218,2051.38,9.41,0
S003,2026-03-15,11,221,2114.97,9.57,0
S004,2026-03-15,11,239,2502.33,10.47,0
S005,2026-03-15,11,249,2529.84,10.16,1
S006,2026-03-15,11,246,2629.74,10.69,0
S007,2026-03-15,11,243,2519.91,10.37,0
S008,2026-03-15,11,267,2840.88,10.64,0
S001,2026-03-22,12,214,2054.4,9.6,0
S002,2026-03-22,12,207,1964.43,9.49,0
S003,2026-03-22,12,210,2068.5,9.85,0
S004,2026-03-22,12,256,2616.32,10.22,1
S005,2026-03-22,12,219,2260.08,10.32,0
S006,2026-03-22,12,245,2474.5,10.1,0
S007,2026-03-22,12,266,2899.4,10.9,0
S008,2026-03-22,12,272,3011.04,11.07,0
S002,2026-01-15,3,170,1599.7,9.41,0
S010,2026-02-15,7,205,2190.5,10.69,0
