region,week,temperature,precipitation
North,1,47.5,0.28
South,1,41.8,0.19
East,1,43.0,0
West,1,43.4,0.12
North,2,49.2,0.59
South,2,50.0,0
East,2,45.4,0.95
West,2,46.8,0.41
North,3,48.9,0.48
South,3,51.6,0.27
East,3,53.0,0.34
West,3,45.9,2.1
North,4,50.6,0.04
South,4,48.4,0.75
East,4,50.6,1.29
West,4,48.8,0.43
North,5,53.1,0.99
South,5,52.5,0.38
East,5,52.5,0.55
West,5,52.1,1.35
North,6,57.3,1.23
South,6,58.7,0.59
East,6,54.7,0.15
West,6,50.5,0
North,7,58.2,0.0
South,7,55.4,1.3
East,7,58.1,1.04
West,7,60.0,1.37
North,8,59.3,0.99
South,8,58.5,1.16
East,8,61.1,0.45
West,8,63.0,1.63
North,9,60.4,1.16
South,9,61.7,1.3
East,9,65.7,0.91
West,9,64.8,1.21
North,10,68.6,0.83
South,10,61.7,1.09
East,10,62.6,0.3
West,10,59.9,1.11
North,11,66.1,0.91
South,11,67.4,1.25
East,11,66.3,1.26
West,11,64.9,0.1
North,12,69.0,0.93
South,12,70.5,0.71
East,12,69.8,0.96
West,12,65.0,1.33
