id,event,x1,x2,x3,group
1,0,-1.5,-0.831,0.181,C
2,1,-0.186,-0.539,3.539,A
3,1,1.303,-0.649,1.373,A
4,1,0.096,-1.169,2.979,C
5,0,0.062,1.015,3.519,B
6,0,-0.0,-0.548,1.193,A
7,0,-0.7,-1.228,3.958,A
8,1,1.468,-0.296,2.629,C
9,0,-0.286,-0.595,1.351,C
10,0,-0.217,-0.529,3.216,A
11,1,1.141,0.532,2.88,B
12,1,1.317,0.604,3.789,B
13,1,0.876,-1.538,2.421,B
14,1,1.428,1.702,2.716,C
15,0,-1.214,0.417,0.686,A
16,1,0.116,-0.65,2.579,C
17,0,0.028,0.671,2.977,B
18,0,-0.214,-0.208,0.59,B
19,1,0.771,1.174,2.71,A
20,1,0.286,-0.597,2.204,C
21,0,-2.557,0.446,0.272,C
22,0,-1.174,-0.619,3.026,B
23,0,-1.489,-0.098,1.784,A
24,0,0.805,-0.533,0.174,B
25,0,0.872,0.557,3.646,A
26,1,2.069,-0.059,1.438,C
27,0,-0.523,0.129,1.139,C
28,1,0.743,-0.755,0.118,A
29,1,0.541,0.221,0.005,B
30,1,0.567,0.127,1.711,C
31,1,-0.127,0.306,2.304,C
32,1,-0.464,-1.763,1.92,B
33,1,0.799,-0.786,3.677,A
34,0,0.793,1.034,2.918,B
35,0,-0.728,-0.535,0.741,A
36,1,1.14,0.309,3.342,A
37,1,-0.297,-1.03,1.505,B
38,0,-1.162,-0.082,2.561,C
39,1,0.202,-0.449,3.055,A
40,1,0.888,-1.06,0.029,A
41,0,-0.051,-0.36,2.214,B
42,1,-0.193,-0.379,0.685,B
43,1,1.1,0.284,3.387,C
44,0,-0.655,-0.029,3.662,B
45,1,-0.066,-1.368,0.02,B
46,0,-1.563,0.031,2.554,A
47,0,0.197,1.192,2.264,C
48,0,-1.848,-0.023,0.533,A
49,0,-1.349,-0.521,0.209,A
50,0,-1.944,0.158,3.622,A
51,0,-0.373,-0.417,3.054,C
52,0,0.456,0.007,1.59,A
53,0,-1.06,1.175,0.249,A
54,1,0.799,-0.187,1.898,C
55,0,-0.971,0.916,2.409,B
56,1,0.413,0.432,0.45,B
57,0,0.475,0.365,1.568,C
58,1,-0.549,-1.208,0.854,A
59,1,-0.362,0.373,2.621,C
60,0,1.478,-0.523,2.607,A
61,0,-0.493,0.114,0.77,C
62,1,0.336,-0.733,1.073,A
63,0,0.029,0.273,0.428,C
64,1,-2.431,-0.989,3.188,A
65,0,0.115,-0.454,1.448,C
66,0,-0.855,-0.686,3.007,B
67,0,1.28,0.642,2.652,B
68,0,2.236,1.241,0.548,A
69,0,-0.037,0.715,3.092,A
70,0,0.465,1.857,2.947,C
71,1,0.395,-0.334,3.416,B
72,0,-0.438,-0.679,2.408,A
73,0,-0.087,-0.809,1.564,A
74,0,-0.413,1.823,1.631,C
75,1,0.386,0.111,2.917,A
76,0,-0.109,1.92,3.344,B
77,0,-1.274,1.374,1.222,B
78,0,-0.1,0.609,3.823,C
79,0,-0.838,-1.123,1.14,B
80,0,1.044,-0.973,0.126,A
81,0,-1.821,0.232,1.194,C
82,0,-1.813,0.708,3.344,C
83,1,0.545,-1.433,2.729,C
84,1,0.063,1.483,1.987,A
85,1,1.684,0.379,1.767,C
86,1,2.093,-0.078,3.09,B
87,0,0.429,-1.276,0.416,B
88,0,0.312,-0.381,0.184,A
89,0,0.105,0.207,1.824,B
90,1,-0.88,-1.335,0.063,B
91,1,0.866,-0.504,3.616,C
92,1,-0.595,0.214,3.888,B
93,0,-0.148,1.708,3.939,B
94,1,0.341,1.758,0.585,C
95,0,-0.486,-1.879,2.874,C
96,0,0.483,0.64,2.408,B
97,1,2.161,-1.589,1.042,C
98,0,-0.611,-0.097,2.275,B
99,1,-0.855,-0.588,1.701,A
100,0,0.31,0.169,0.816,C
101,0,0.108,-1.08,1.863,B
102,0,-0.049,0.795,1.198,B
103,1,0.926,-0.446,1.983,B
104,0,-0.307,0.981,0.448,C
105,0,0.26,-0.174,3.317,A
106,1,0.649,-0.135,3.969,C
107,1,1.048,0.991,0.34,B
108,1,-0.2,0.331,2.892,B
109,0,-0.75,-0.168,0.934,B
110,0,-0.466,0.705,0.42,B
111,0,-1.647,-1.466,0.899,C
112,0,-0.473,2.007,3.592,C
113,1,1.144,1.42,1.085,B
114,1,-1.002,1.332,0.374,B
115,0,-0.038,1.534,0.372,C
116,0,0.077,-0.148,2.737,A
117,0,-0.899,-0.213,3.522,C
118,1,0.594,0.11,2.885,B
119,0,1.171,0.462,0.991,C
120,0,-1.981,0.138,3.844,B
121,0,-1.332,0.094,0.066,A
122,0,-0.401,-0.37,1.417,B
123,0,-0.095,0.202,3.273,B
124,0,1.061,0.244,3.808,C
125,0,-0.445,1.181,1.597,B
126,1,1.38,0.352,2.079,C
127,1,0.057,1.024,3.351,B
128,0,-0.856,-1.34,2.697,C
129,0,-0.252,0.737,3.738,A
130,1,0.917,-0.829,1.942,C
131,1,2.755,0.914,3.886,B
132,0,-0.507,-0.045,2.362,B
133,0,-1.022,0.666,2.862,B
134,0,-1.956,-0.515,3.543,C
135,0,-0.269,1.668,0.228,B
136,0,-0.949,0.751,3.079,B
137,1,0.822,1.808,3.097,B
138,0,-2.131,0.616,3.352,B
139,0,-0.939,0.187,1.294,A
140,1,0.914,-0.128,2.863,A
141,1,2.32,-0.298,2.729,A
142,0,-0.118,-0.259,2.986,C
143,1,1.327,-0.574,0.267,A
144,1,1.589,-0.016,3.786,C
145,0,1.687,0.864,1.384,C
146,0,-1.169,0.441,1.543,C
147,0,-0.661,0.555,0.202,A
148,1,0.642,0.675,0.39,B
149,0,-0.119,0.829,1.291,A
150,0,-0.969,-0.315,2.085,C
151,0,-0.221,2.277,3.767,A
152,1,-0.281,1.031,1.479,C
153,0,-0.119,1.812,0.152,C
154,0,-1.762,-0.391,1.922,B
155,1,-0.008,-1.223,2.247,B
156,1,-0.058,-1.291,0.512,C
157,0,-1.357,0.666,0.992,C
158,1,-0.56,-0.02,2.128,B
159,1,-0.025,-0.186,3.772,A
160,1,0.156,-0.512,1.537,A
161,1,-0.339,-1.894,2.906,B
162,0,-1.215,-0.44,2.542,B
163,0,-0.681,-0.493,2.203,A
164,0,-2.354,-2.417,2.599,B
165,0,-1.151,0.828,2.337,B
166,1,-0.178,-0.07,1.935,B
