id,y,x1,x2,x3,x4,noise_1,noise_2,noise_3,noise_4,noise_5,noise_6,noise_7,noise_8
1,13.747,0.179,0.042,-1.348,0.858,0.708,-0.374,-0.131,0.496,0.22,-1.473,0.456,0.896
2,19.629,1.25,-1.249,0.173,-1.006,-0.974,0.473,-0.666,0.98,1.576,-0.161,0.599,0.377
3,20.087,1.204,0.037,-0.187,0.02,-0.068,0.522,-0.009,0.152,-2.669,-1.219,0.978,-1.052
4,11.925,0.986,-0.4,0.207,0.037,-1.033,-0.301,1.524,0.74,0.165,-2.374,-0.109,1.183
5,15.94,-0.238,-0.457,-1.845,-0.788,-0.193,0.383,-0.552,0.106,-0.798,0.189,-0.643,1.765
6,16.835,-0.148,-0.327,1.999,-0.414,0.329,0.872,-0.543,2.865,-0.068,0.286,0.633,-0.812
7,14.398,0.289,-0.05,-0.222,0.032,-0.109,0.263,2.419,0.5,-0.212,2.186,0.334,-0.693
8,12.431,-0.1,-1.235,-0.259,0.312,-0.655,1.173,-0.304,-1.266,-0.554,-1.573,-1.942,0.302
9,14.522,-0.679,1.109,-1.958,-2.661,-0.248,-1.151,-1.608,-0.324,0.267,-0.801,2.073,0.977
10,9.835,-0.025,1.139,1.38,-0.638,0.848,1.446,0.977,2.283,-0.311,-0.322,1.102,2.103
11,6.7,0.161,3.506,0.947,-0.469,0.569,-0.537,1.127,-1.001,0.176,-0.333,1.001,2.736
12,13.27,0.222,1.695,1.517,-2.368,0.211,0.252,0.719,-0.728,0.401,-0.454,-1.947,-0.125
13,19.465,0.889,-0.693,-0.51,1.258,-1.723,0.068,-1.598,1.706,-0.409,-1.397,-2.076,-0.851
14,12.794,0.286,1.601,-0.084,0.338,-0.048,0.469,0.678,-1.305,-0.067,0.066,0.292,1.019
15,19.363,1.72,0.725,-0.036,0.713,-0.508,0.497,-1.078,0.6,2.1,-1.12,-0.739,0.361
16,15.253,-0.713,-2.081,-1.684,1.642,0.609,0.895,-0.555,0.991,1.545,-0.195,-0.6,0.213
17,13.695,-0.254,-0.449,0.703,-1.046,-0.46,-0.203,0.273,2.363,-0.367,-0.082,0.656,-0.214
18,8.644,-0.503,1.283,-0.746,0.184,0.315,1.264,-1.417,-0.461,-0.583,0.487,0.106,-0.547
19,17.316,0.995,0.067,1.108,0.19,0.272,0.05,0.325,-0.825,-0.495,0.502,-1.124,-0.068
20,25.977,2.191,0.865,-0.866,1.375,0.008,-2.455,-0.848,-0.335,1.456,0.302,1.021,0.059
21,21.507,0.019,-0.604,-1.737,0.535,0.689,-0.669,0.023,-1.689,-1.122,1.594,1.269,1.182
22,16.681,-0.269,-0.613,0.124,0.555,-0.104,1.759,0.533,-0.626,-2.19,-1.541,0.383,2.145
23,15.976,0.45,0.538,1.202,1.137,-2.141,1.035,-0.168,-0.422,-2.211,0.093,-1.28,0.681
24,17.736,1.382,0.731,-0.523,0.007,-1.688,0.06,0.983,-1.002,-0.535,-0.213,-0.798,0.182
25,11.957,-0.157,0.899,0.11,-0.629,-0.01,-0.551,-0.388,-0.762,-0.705,1.987,1.553,-0.939
26,17.458,0.04,-0.785,-1.716,0.826,0.414,0.735,-1.379,0.013,-3.369,0.016,-0.578,-0.819
27,12.223,-0.498,-1.048,-0.65,-0.039,-0.174,0.027,-1.154,-1.597,-0.93,-0.799,1.823,0.984
