month,demand,trend,season
1,89.05,1,1
2,94.21,2,2
3,98.06,3,3
4,95.98,4,4
5,103.48,5,5
6,74.53,6,6
7,76.84,7,7
8,79.32,8,8
9,67.48,9,9
10,81.58,10,10
11,82.23,11,11
12,96.02,12,12
13,99.48,13,1
14,94.7,14,2
15,101.58,15,3
16,102.34,16,4
17,107.44,17,5
18,85.89,18,6
19,88.53,19,7
20,90.78,20,8
21,82.29,21,9
22,95.39,22,10
23,93.26,23,11
24,105.61,24,12
25,110.36,25,1
26,111.87,26,2
27,121.0,27,3
28,117.49,28,4
29,115.14,29,5
30,105.73,30,6
31,103.47,31,7
32,100.87,32,8
33,97.68,33,9
34,98.94,34,10
35,108.67,35,11
36,100.3,36,12
37,117.75,37,1
38,125.38,38,2
39,131.65,39,3
40,120.1,40,4
41,129.11,41,5
42,106.6,42,6
43,108.9,43,7
44,107.63,44,8
45,111.21,45,9
46,108.41,46,10
47,115.09,47,11
48,127.97,48,12
49,127.46,49,1
50,131.14,50,2
51,138.66,51,3
52,125.21,52,4
53,132.61,53,5
54,127.61,54,6
55,143.73,55,7
56,136.13,56,8
57,132.96,57,9
58,137.72,58,10
59,144.51,59,11
60,146.87,60,12
61,158.07,61,1
62,173.88,62,2
63,157.63,63,3
64,161.67,64,4
65,162.61,65,5
66,153.32,66,6
67,149.09,67,7
68,150.06,68,8
69,146.37,69,9
70,147.6,70,10
71,157.11,71,11
72,149.23,72,12
