customer_id,churn,tenure_months,monthly_charge,support_tickets,usage_gb,contract,autopay,satisfaction
C0001,0,26,51.01,1,93.0,one_year,no,5.1
C0002,0,8,80.9,1,90.6,month_to_month,no,7.7
C0003,0,11,37.5,0,112.5,month_to_month,yes,4.5
C0004,0,9,75.34,1,117.8,one_year,yes,6.5
C0005,0,4,40.52,1,79.0,two_year,no,7.8
C0006,0,24,81.03,0,90.2,month_to_month,yes,7.6
C0007,0,22,38.07,0,35.9,month_to_month,yes,6.1
C0008,1,1,78.66,1,46.2,month_to_month,yes,2.7
C0009,0,19,42.39,0,120.3,month_to_month,no,10
C0010,0,15,64.72,0,110.1,two_year,yes,10
C0011,1,16,49.64,1,115.4,month_to_month,yes,7.7
C0012,0,22,82.81,0,65.3,one_year,yes,7.0
C0013,0,42,81.46,0,110.5,month_to_month,no,7.9
C0014,0,72,64.72,0,44.5,one_year,yes,9.4
C0015,0,12,79.82,0,49.8,one_year,no,7.6
C0016,0,85,62.06,0,72.8,month_to_month,no,6.7
C0017,0,4,82.3,1,83.6,month_to_month,yes,8.4
C0018,0,25,54.71,0,91.7,month_to_month,no,5.9
C0019,0,147,58.95,0,116.7,one_year,yes,9.5
C0020,0,12,47.94,0,96.5,one_year,no,7.8
C0021,0,4,66.59,0,134.6,month_to_month,no,6.6
C0022,1,23,77.71,0,86.0,month_to_month,yes,6.7
C0023,1,12,108.69,0,63.4,month_to_month,yes,4.6
C0024,1,9,84.19,2,112.9,month_to_month,no,6.8
C0025,0,26,64.14,0,77.7,month_to_month,yes,6.3
C0026,0,40,97.0,0,88.3,month_to_month,yes,5.3
C0027,0,82,83.13,0,73.6,month_to_month,no,7.0
C0028,1,16,84.29,1,117.3,one_year,no,3.9
C0029,0,63,117.68,0,119.9,month_to_month,yes,9.5
C0030,1,13,72.78,0,58.0,month_to_month,yes,6.1
C0031,1,6,87.31,1,86.1,one_year,yes,3.9
C0032,0,7,55.29,0,116.2,one_year,no,8.5
C0033,0,15,82.48,0,78.1,one_year,yes,8.6
C0034,0,4,67.26,2,95.3,month_to_month,yes,10
C0035,0,13,49.69,1,114.3,one_year,yes,8.2
C0036,1,9,92.13,0,36.6,month_to_month,no,4.8
C0037,1,11,113.09,0,2.1,month_to_month,yes,9.9
C0038,1,122,56.59,0,48.3,month_to_month,no,8.4
C0039,0,41,71.6,0,80.0,month_to_month,no,8.9
C0040,1,7,39.01,0,37.4,month_to_month,no,7.3
C0041,0,38,102.65,0,41.1,month_to_month,no,8.1
C0042,0,16,66.07,0,90.0,two_year,yes,7.4
C0043,1,1,97.66,0,69.8,month_to_month,yes,10
C0044,0,19,60.5,0,87.8,one_year,no,9.2
C0045,0,8,54.24,2,52.2,one_year,yes,9.3
C0046,1,26,65.14,1,93.8,month_to_month,no,6.6
C0047,1,7,94.41,0,67.1,two_year,yes,6.0
C0048,0,27,65.4,0,96.8,month_to_month,yes,7.4
C0049,1,1,59.93,0,144.5,two_year,no,5.3
C0050,1,8,109.47,1,82.1,month_to_month,no,9.3
C0051,1,13,56.81,0,38.8,month_to_month,yes,5.9
C0052,0,3,45.13,0,90.8,one_year,yes,8.8
C0053,0,35,83.51,0,79.5,month_to_month,yes,6.2
C0054,0,13,29.63,0,102.8,month_to_month,no,6.4
C0055,1,5,78.88,0,24.1,two_year,no,5.6
C0056,0,18,78.38,0,115.5,month_to_month,no,9.6
C0057,0,3,57.99,0,117.2,two_year,yes,6.7
C0058,0,6,79.67,0,74.9,month_to_month,yes,8.1
C0059,1,19,66.66,0,93.2,one_year,yes,4.6
C0060,0,8,69.97,2,106.0,month_to_month,yes,7.0
C0061,1,13,100.59,0,113.1,month_to_month,no,8.8
C0062,1,1,77.66,0,77.9,month_to_month,no,5.3
C0063,0,27,74.37,0,94.0,month_to_month,no,7.9
C0064,0,22,56.64,0,116.0,month_to_month,no,8.9
C0065,0,17,60.78,0,70.6,two_year,no,6.2
C0066,0,42,57.45,0,24.8,one_year,yes,6.9
C0067,0,58,39.88,1,91.2,two_year,no,5.8
C0068,0,40,74.81,0,78.6,two_year,yes,7.1
C0069,0,7,63.83,0,129.5,month_to_month,yes,9.2
C0070,0,12,77.0,0,91.6,one_year,yes,7.7
C0071,0,9,103.64,3,97.8,month_to_month,yes,6.7
C0072,0,13,73.84,0,122.9,one_year,yes,4.6
C0073,0,15,80.16,0,127.9,one_year,no,6.8
C0074,0,17,69.93,0,101.6,two_year,yes,5.3
C0075,0,3,90.78,0,77.0,two_year,yes,4.7
C0076,1,36,93.81,1,88.4,one_year,yes,7.4
C0077,0,34,74.48,0,98.7,one_year,no,9.3
C0078,1,2,61.41,0,59.0,one_year,yes,3.2
C0079,1,5,98.63,1,22.2,month_to_month,no,7.6
C0080,1,3,64.43,0,1,one_year,no,5.2
C0081,0,72,68.18,1,124.0,one_year,yes,6.9
C0082,1,27,70.59,1,91.1,month_to_month,yes,6.8
C0083,0,155,61.52,2,82.2,month_to_month,no,6.9
C0084,0,33,111.59,0,76.2,one_year,yes,8.3
C0085,1,36,58.45,3,44.3,month_to_month,no,3.2
C0086,0,30,76.93,0,71.9,one_year,no,9.2
C0087,0,61,68.77,0,126.5,month_to_month,yes,5.8
C0088,0,41,90.42,0,109.9,two_year,no,8.4
C0089,1,5,88.7,0,123.0,one_year,yes,4.1
C0090,0,21,46.84,1,94.9,month_to_month,yes,5.6
C0091,1,21,94.17,0,127.2,month_to_month,yes,5.9
C0092,0,10,39.43,0,80.5,month_to_month,yes,5.6
C0093,1,19,55.9,0,67.0,month_to_month,no,6.5
C0094,1,7,101.71,0,43.4,one_year,yes,7.6
C0095,0,3,85.6,1,71.5,month_to_month,yes,7.0
C0096,0,10,105.78,1,122.2,month_to_month,no,8.9
C0097,1,26,63.74,0,75.1,month_to_month,yes,6.6
C0098,1,21,67.46,0,122.1,month_to_month,yes,2.1
C0099,0,31,44.05,0,123.9,month_to_month,yes,10
C0100,1,27,77.37,1,44.5,month_to_month,yes,9.9
C0101,1,11,69.14,2,96.7,month_to_month,no,7.4
C0102,0,16,67.08,1,128.4,one_year,yes,9.6
C0103,0,45,48.8,2,111.9,month_to_month,yes,8.0
C0104,1,43,77.37,0,74.3,month_to_month,no,6.7
C0105,0,3,49.4,1,51.3,two_year,yes,7.7
C0106,0,4,67.09,2,84.1,one_year,yes,7.3
C0107,1,11,76.19,0,81.7,month_to_month,no,6.7
C0108,0,48,76.09,0,67.6,one_year,yes,5.7
C0109,0,18,46.52,1,125.8,month_to_month,no,9.8
C0110,0,36,77.28,0,83.3,one_year,yes,7.3
C0111,0,9,80.44,0,103.3,one_year,no,5.4
C0112,0,7,63.12,0,92.6,month_to_month,no,7.4
C0113,0,10,79.01,0,124.8,two_year,yes,10
C0114,0,53,70.47,0,23.2,one_year,yes,7.8
C0115,1,14,71.52,0,75.0,month_to_month,yes,4.7
C0116,0,39,59.13,0,84.8,month_to_month,no,5.6
C0117,1,32,63.38,2,92.0,month_to_month,yes,7.8
C0118,0,84,82.06,1,78.8,two_year,yes,7.3
C0119,0,20,57.86,0,85.7,month_to_month,yes,8.5
C0120,0,105,62.76,1,122.6,two_year,no,6.9
C0121,1,17,83.84,1,45.9,two_year,yes,3.1
C0122,0,43,84.79,0,106.1,month_to_month,yes,8.4
C0123,0,18,79.69,0,77.2,one_year,yes,10
C0124,0,48,68.99,1,104.3,one_year,yes,10
C0125,1,8,96.68,0,84.5,month_to_month,yes,4.1
C0126,0,5,80.27,0,122.4,one_year,yes,6.6
C0127,0,1,66.02,0,88.7,two_year,no,8.1
C0128,0,55,30.74,0,119.5,month_to_month,no,6.9
C0129,0,15,39.78,1,82.8,month_to_month,no,10
C0130,0,11,81.0,2,48.4,one_year,yes,9.0
C0131,1,47,79.83,0,59.0,month_to_month,no,7.6
C0132,0,7,91.41,0,82.1,one_year,no,8.9
C0133,1,9,60.95,0,86.7,month_to_month,yes,6.8
C0134,0,22,102.64,0,113.7,two_year,yes,8.5
C0135,0,35,98.18,0,89.6,one_year,yes,5.2
C0136,0,1,74.44,0,99.2,month_to_month,yes,6.5
C0137,0,5,80.65,0,48.7,month_to_month,no,8.4
C0138,1,10,79.95,3,66.6,two_year,no,7.0
C0139,0,51,75.89,0,13.4,one_year,yes,5.6
C0140,1,29,66.99,0,46.7,month_to_month,no,4.4
C0141,1,21,106.97,3,83.7,one_year,yes,8.1
C0142,0,37,81.99,0,81.1,one_year,yes,6.6
C0143,0,19,77.09,2,111.8,month_to_month,yes,9.5
C0144,0,187,79.76,0,77.3,one_year,no,9.0
C0145,0,37,79.09,0,125.9,month_to_month,no,7.2
C0146,0,17,55.82,1,98.6,month_to_month,yes,8.1
C0147,0,12,69.15,0,110.7,month_to_month,yes,7.7
C0148,1,1,88.16,1,92.7,month_to_month,no,8.9
C0149,0,3,64.17,0,101.6,one_year,yes,7.0
C0150,0,8,83.31,0,78.1,two_year,no,8.1
C0151,0,41,53.91,0,78.7,month_to_month,no,8.0
C0152,1,7,78.23,0,92.0,month_to_month,no,5.3
C0153,0,5,36.83,1,81.8,two_year,no,6.7
C0154,0,41,79.75,1,93.3,two_year,no,8.9
C0155,1,3,60.54,0,72.5,month_to_month,no,8.8
C0156,1,17,37.71,0,105.7,month_to_month,yes,3.5
C0157,1,33,79.13,0,50.4,month_to_month,no,10
C0158,0,58,106.98,0,60.1,one_year,yes,4.9
C0159,0,16,79.03,0,74.1,month_to_month,yes,9.2
C0160,0,40,70.65,0,94.7,two_year,yes,9.7
C0161,1,2,84.26,0,35.1,month_to_month,no,7.8
C0162,0,35,38.62,1,84.1,month_to_month,yes,7.3
C0163,1,24,100.13,0,13.6,one_year,yes,5.5
C0164,1,13,81.92,0,48.9,month_to_month,no,10
C0165,0,21,51.61,0,64.7,one_year,yes,5.8
C0166,1,14,85.94,0,79.0,month_to_month,no,5.8
C0167,1,20,58.82,2,37.8,month_to_month,no,4.2
C0168,1,12,61.64,1,80.4,one_year,no,4.3
C0169,1,18,65.11,0,59.7,month_to_month,yes,7.6
C0170,0,9,68.25,0,62.8,month_to_month,yes,8.4
C0171,0,54,85.81,0,79.7,month_to_month,yes,9.9
C0172,0,12,82.36,0,121.3,two_year,yes,8.3
C0173,1,10,76.76,0,59.8,month_to_month,yes,5.3
C0174,0,59,77.13,1,105.3,month_to_month,yes,9.0
C0175,0,24,79.51,0,134.4,month_to_month,yes,6.8
C0176,1,7,89.53,1,50.4,month_to_month,no,2.4
C0177,0,15,63.37,1,80.4,two_year,no,7.7
C0178,0,34,82.84,0,72.3,month_to_month,yes,7.8
C0179,0,46,39.89,0,107.9,one_year,yes,4.8
C0180,0,25,74.0,1,72.0,one_year,yes,7.7
C0181,0,10,86.41,2,79.5,one_year,yes,4.6
C0182,0,37,49.72,0,79.1,one_year,no,4.9
C0183,0,46,74.89,0,71.9,month_to_month,no,7.9
C0184,0,35,76.29,0,43.1,month_to_month,no,8.5
C0185,1,22,70.3,0,97.8,month_to_month,no,4.5
C0186,1,27,41.37,6,77.8,month_to_month,no,6.0
C0187,1,7,78.54,1,86.9,month_to_month,yes,6.1
C0188,1,25,96.11,1,45.3,month_to_month,yes,7.9
C0189,1,5,48.11,0,124.7,month_to_month,yes,10
C0190,1,6,74.16,0,86.3,one_year,yes,5.0
C0191,0,7,47.29,1,108.9,month_to_month,no,8.3
C0192,0,17,67.56,1,110.0,month_to_month,yes,8.3
C0193,0,17,39.48,0,108.0,month_to_month,yes,8.0
C0194,0,1,68.19,0,89.4,one_year,yes,10
C0195,1,25,94.11,0,65.1,one_year,yes,3.8
C0196,1,1,72.02,0,41.9,month_to_month,no,8.7
C0197,1,10,69.87,1,74.6,month_to_month,yes,3.9
C0198,1,1,51.29,0,100.8,month_to_month,no,8.1
C0199,0,22,89.78,1,98.5,one_year,yes,6.5
C0200,1,33,79.57,0,69.0,month_to_month,yes,3.4
C0201,1,46,66.33,0,21.8,month_to_month,yes,6.7
C0202,0,10,70.72,0,66.8,month_to_month,yes,8.7
C0203,0,1,55.12,0,163.5,two_year,yes,8.4
C0204,0,23,82.7,1,65.5,month_to_month,no,10
C0205,0,5,94.75,1,102.8,one_year,yes,8.4
C0206,1,6,79.42,0,92.4,month_to_month,no,5.8
C0207,0,20,74.63,0,131.5,two_year,yes,9.6
C0208,1,26,81.96,0,59.6,one_year,yes,4.7
C0209,0,1,53.1,2,39.4,one_year,yes,8.9
C0210,1,23,70.1,0,84.0,one_year,no,8.7
C0211,0,21,36.27,0,156.4,two_year,no,5.8
C0212,0,14,106.37,0,94.7,month_to_month,no,5.5
C0213,0,23,72.12,2,93.6,month_to_month,yes,10
C0214,0,7,81.67,0,47.2,month_to_month,no,7.5
C0215,0,8,80.85,1,51.7,two_year,yes,9.1
C0216,0,44,68.38,0,44.0,month_to_month,yes,5.8
C0217,1,6,81.99,0,86.4,month_to_month,no,5.6
