id,market_index,local_income,population_density,store_size,floor_space,staff_hours,search_ads,social_ads,display_ads,promo_depth,coupon_rate,noise_1,noise_2,noise_3,noise_4,noise_5,noise_6,noise_7,noise_8,weekly_sales
1,1.286,0.489,0.603,0.054,-0.392,-0.233,-0.802,-0.626,-0.392,-0.133,-0.221,0.26,-0.247,-0.379,-0.484,-0.308,0.35,0.687,-0.925,48.455
2,-1.612,-1.238,-1.114,-1.282,-1.364,-1.086,-0.516,-0.583,-0.208,-1.649,-1.167,0.27,-0.261,0.858,1.861,0.626,0.718,-0.709,1.43,40.371
3,-0.065,-0.435,-0.22,-0.372,-0.586,-0.093,0.54,0.49,0.354,-2.263,-1.879,-0.967,-0.646,-1.814,-1.151,0.033,-0.846,0.018,-1.121,44.031
4,-0.021,-0.595,-0.521,0.658,0.983,0.199,0.257,0.414,0.246,0.347,0.546,-0.292,0.801,1.087,-2.028,-1.896,-1.361,-0.406,-0.234,51.123
5,-0.839,-0.43,-0.832,0.349,0.164,0.398,-0.367,-0.291,-0.407,1.579,1.387,0.975,-0.964,-0.755,-0.102,-0.539,0.703,0.542,0.738,55.954
6,0.361,-0.008,-0.304,1.271,1.305,1.13,-1.413,-0.774,-0.141,0.661,0.568,1.241,0.269,1.086,-0.482,-0.791,1.713,-1.082,0.362,54.114
7,0.251,-0.157,0.79,0.857,0.343,0.87,-0.728,-0.667,-0.355,0.921,0.406,-1.163,-2.022,-0.824,-2.457,0.43,0.956,-2.79,2.487,51.073
8,0.241,0.964,0.21,0.407,0.544,0.534,-0.868,-1.066,0.063,1.798,1.559,0.469,1.22,0.795,-0.112,0.868,0.133,0.588,0.062,50.785
9,0.401,0.494,0.072,0.516,0.439,0.624,2.518,2.03,1.844,-0.77,-0.618,-0.191,-1.473,0.016,-1.38,-2.29,-0.526,-1.955,0.24,64.629
10,0.114,0.649,-0.125,1.371,1.742,1.321,0.171,-0.574,-0.014,-0.722,-0.362,0.527,0.084,-0.601,0.14,0.018,1.863,-0.735,0.914,59.311
