customer_id,true_segment,high_value,visits_per_month,avg_order_value,discount_rate,email_opens,tenure_months,support_contacts,returns_per_year
P0001,budget_regular,0,13,28.26,0.16,7,22,2,1
P0002,premium_loyal,1,14,72.77,0.128,11,33,0,0
P0003,deal_seeker,0,1,42.53,0.384,0,1,4,3
P0004,budget_regular,0,9,22.11,0.221,4,18,1,0
P0005,premium_loyal,1,12,83.13,0.228,6,23,1,2
P0006,deal_seeker,0,3,34.0,0.44,2,9,4,2
P0007,budget_regular,0,9,27.43,0.152,2,20,1,0
P0008,premium_loyal,1,15,68.39,0.114,9,34,0,1
P0009,deal_seeker,0,4,47.56,0.377,0,7,3,1
P0010,budget_regular,0,7,31.28,0.116,4,24,3,1
P0011,premium_loyal,1,15,73.27,0.18,10,33,1,1
P0012,deal_seeker,0,3,37.25,0.422,0,8,1,3
P0013,budget_regular,0,11,19.9,0.077,6,10,2,2
P0014,premium_loyal,1,19,78.51,0.063,10,35,1,0
P0015,deal_seeker,0,2,34.48,0.353,3,16,2,2
P0016,budget_regular,0,9,38.14,0.135,5,19,2,1
P0017,premium_loyal,1,14,76.91,0.143,9,24,3,1
P0018,deal_seeker,0,2,35.32,0.387,0,13,3,0
P0019,budget_regular,0,8,35.54,0.229,5,22,2,1
P0020,premium_loyal,1,13,76.54,0.063,8,25,2,1
P0021,deal_seeker,0,2,25.41,0.527,1,9,2,1
P0022,budget_regular,0,12,13.9,0.119,5,18,2,1
P0023,premium_loyal,1,12,82.25,0.124,6,31,0,1
P0024,deal_seeker,0,5,25.56,0.414,2,5,4,2
P0025,budget_regular,0,10,16.52,0.237,4,20,1,0
P0026,premium_loyal,1,14,69.94,0.167,9,31,2,1
P0027,deal_seeker,0,1,40.7,0.425,1,17,2,5
P0028,budget_regular,0,7,17.69,0.171,4,22,1,2
P0029,premium_loyal,1,12,63.05,0.13,8,20,0,1
P0030,deal_seeker,0,5,32.91,0.443,1,17,1,2
P0031,budget_regular,0,10,18.25,0.266,5,16,2,0
P0032,premium_loyal,1,15,77.3,0.186,11,29,2,1
P0033,deal_seeker,0,5,21.16,0.396,0,5,2,1
P0034,budget_regular,0,9,21.62,0.074,8,20,3,0
P0035,premium_loyal,1,16,68.63,0.116,7,28,0,1
P0036,deal_seeker,0,5,27.97,0.319,0,8,1,2
P0037,budget_regular,0,6,22.43,0.087,5,16,2,1
P0038,premium_loyal,1,14,64.79,0.156,7,29,1,1
P0039,deal_seeker,0,2,31.24,0.334,0,1,4,2
P0040,budget_regular,0,9,33.4,0.079,4,18,1,0
P0041,premium_loyal,1,15,71.66,0.063,7,33,2,1
P0042,deal_seeker,0,1,23.54,0.453,0,10,4,2
P0043,budget_regular,0,11,25.75,0.152,1,25,2,0
P0044,premium_loyal,1,13,84.63,0.119,9,33,1,2
P0045,deal_seeker,0,4,38.07,0.338,0,5,3,1
P0046,budget_regular,0,9,34.22,0.141,4,18,3,0
P0047,premium_loyal,1,16,80.94,0.184,6,32,1,0
P0048,deal_seeker,0,6,31.94,0.48,1,6,0,2
P0049,budget_regular,0,7,16.37,0.153,3,13,1,0
P0050,premium_loyal,1,14,59.79,0.149,10,24,0,0
P0051,deal_seeker,0,3,38.92,0.392,0,14,2,2
P0052,budget_regular,1,10,44.01,0.087,4,22,1,1
P0053,premium_loyal,1,15,71.94,0.112,7,32,2,1
P0054,deal_seeker,0,4,22.49,0.467,4,13,1,1
P0055,budget_regular,0,11,29.88,0.072,5,16,2,1
P0056,premium_loyal,1,12,60.79,0.117,7,21,1,1
P0057,deal_seeker,0,1,38.17,0.476,0,5,4,3
P0058,budget_regular,0,10,15.12,0.163,5,17,2,1
P0059,premium_loyal,1,16,66.88,0.103,10,30,0,1
P0060,deal_seeker,0,6,44.33,0.308,0,11,4,2
P0061,budget_regular,0,11,22.67,0.149,6,21,2,2
P0062,premium_loyal,1,16,66.53,0.084,9,31,1,0
P0063,deal_seeker,0,3,28.4,0.399,2,15,4,1
P0064,budget_regular,0,13,22.62,0.069,7,17,2,0
P0065,premium_loyal,1,15,67.84,0.221,11,29,0,1
P0066,deal_seeker,0,7,26.01,0.35,1,13,1,1
P0067,budget_regular,0,8,23.38,0.298,4,19,1,1
P0068,premium_loyal,1,17,77.44,0.162,12,37,0,2
P0069,deal_seeker,0,2,37.24,0.366,0,12,3,1
P0070,budget_regular,0,7,34.98,0.177,3,21,3,1
P0071,premium_loyal,1,16,60.67,0.214,10,32,1,1
P0072,deal_seeker,0,2,35.29,0.364,0,7,2,2
P0073,budget_regular,0,9,40.62,0.209,6,16,3,1
P0074,premium_loyal,1,15,62.64,0.218,8,27,1,1
P0075,deal_seeker,0,4,41.62,0.4,2,5,2,3
P0076,budget_regular,0,10,28.93,0.132,5,29,0,1
P0077,premium_loyal,1,12,59.74,0.187,9,26,0,1
P0078,deal_seeker,0,1,34.31,0.448,0,10,2,2
P0079,budget_regular,0,11,26.84,0.101,6,26,2,0
P0080,premium_loyal,1,18,81.4,0.078,9,33,1,2
P0081,deal_seeker,0,4,35.11,0.371,2,15,2,2
P0082,budget_regular,0,9,30.15,0.151,6,26,1,0
P0083,premium_loyal,1,12,66.57,0.121,8,35,1,1
P0084,deal_seeker,0,3,34.64,0.324,3,11,3,2
P0085,budget_regular,0,6,20.08,0.137,3,13,2,0
P0086,premium_loyal,1,15,70.21,0.184,11,32,1,1
P0087,deal_seeker,0,1,29.28,0.446,0,6,3,2
P0088,budget_regular,0,8,35.15,0.183,2,20,2,1
P0089,premium_loyal,1,17,65.34,0.069,8,29,2,2
P0090,deal_seeker,0,5,33.64,0.445,3,15,1,3
P0091,budget_regular,0,9,35.23,0.071,7,15,1,1
P0092,premium_loyal,1,12,69.04,0.208,9,29,2,1
P0093,deal_seeker,0,1,27.21,0.364,0,5,4,2
P0094,budget_regular,0,13,40.69,0.123,5,19,2,0
P0095,premium_loyal,1,13,72.92,0.077,8,35,0,2
P0096,deal_seeker,0,6,29.27,0.437,2,5,3,3
P0097,budget_regular,0,11,18.54,0.091,5,14,1,0
P0098,premium_loyal,1,16,69.76,0.13,8,31,1,0
P0099,deal_seeker,0,1,25.6,0.449,4,5,3,3
P0100,budget_regular,0,11,23.79,0.132,6,17,2,1
P0101,premium_loyal,1,15,68.82,0.175,10,25,0,1
P0102,deal_seeker,0,4,30.92,0.373,3,7,4,3
P0103,budget_regular,0,10,14.57,0.192,3,20,2,1
P0104,premium_loyal,1,10,61.46,0.104,9,24,0,2
P0105,deal_seeker,0,4,49.62,0.318,1,16,3,2
P0106,budget_regular,0,5,29.25,0.242,2,16,3,2
P0107,premium_loyal,1,11,56.95,0.126,8,31,1,1
P0108,deal_seeker,0,5,24.44,0.442,3,11,2,2
P0109,budget_regular,0,12,13.17,0.145,4,20,2,0
P0110,premium_loyal,1,14,73.95,0.219,7,27,2,1
P0111,deal_seeker,0,5,43.28,0.321,4,12,2,1
P0112,budget_regular,0,8,24.07,0.123,2,18,1,0
P0113,premium_loyal,0,13,69.31,0.251,7,32,2,1
P0114,deal_seeker,0,4,35.96,0.384,0,17,2,2
P0115,budget_regular,1,11,43.03,0.143,4,28,1,1
P0116,premium_loyal,1,14,63.04,0.165,7,33,2,2
P0117,deal_seeker,0,1,35.68,0.438,0,9,2,1
P0118,budget_regular,0,9,30.2,0.095,5,13,1,0
P0119,premium_loyal,1,14,73.21,0.166,10,31,0,1
P0120,deal_seeker,0,5,35.91,0.353,3,17,3,2
P0121,budget_regular,0,10,14.54,0.214,6,23,2,0
P0122,premium_loyal,1,15,80.05,0.111,7,29,3,3
P0123,deal_seeker,0,4,45.1,0.33,0,13,3,3
P0124,budget_regular,0,10,30.77,0.224,5,20,0,1
P0125,premium_loyal,1,13,69.58,0.168,9,28,1,2
P0126,deal_seeker,0,4,37.84,0.367,4,16,3,2
P0127,budget_regular,0,11,24.82,0.129,6,24,3,0
P0128,premium_loyal,1,15,65.19,0.16,12,31,1,1
P0129,deal_seeker,0,2,43.3,0.468,0,7,4,2
P0130,budget_regular,0,12,24.84,0.222,5,26,1,1
P0131,premium_loyal,1,15,74.14,0.18,11,32,2,0
P0132,deal_seeker,0,2,27.4,0.444,0,5,3,3
P0133,budget_regular,0,10,21.28,0.075,6,22,3,0
P0134,premium_loyal,1,16,59.69,0.11,6,29,1,2
P0135,deal_seeker,0,5,30.87,0.39,4,25,2,1
P0136,budget_regular,0,8,17.36,0.196,4,28,3,0
P0137,premium_loyal,1,14,78.06,0.174,7,27,2,2
P0138,deal_seeker,0,7,33.69,0.3,0,9,3,1
P0139,budget_regular,0,12,31.44,0.107,6,17,1,0
P0140,premium_loyal,1,15,67.87,0.157,5,25,1,2
P0141,deal_seeker,0,3,33.51,0.448,2,15,2,1
P0142,budget_regular,0,8,24.74,0.164,4,24,3,0
P0143,premium_loyal,1,15,65.84,0.184,7,32,1,1
P0144,deal_seeker,0,6,43.1,0.398,0,4,4,1
P0145,budget_regular,0,9,22.4,0.212,6,21,3,1
P0146,premium_loyal,1,14,73.88,0.103,10,37,0,1
P0147,deal_seeker,0,1,38.08,0.328,1,8,2,1
P0148,budget_regular,0,11,29.1,0.083,5,29,2,2
P0149,premium_loyal,1,13,60.61,0.182,9,36,1,0
P0150,deal_seeker,0,6,33.92,0.411,0,13,3,2
P0151,budget_regular,0,12,25.32,0.128,5,24,2,1
P0152,premium_loyal,1,15,54.92,0.199,9,34,2,2
P0153,deal_seeker,0,7,43.83,0.502,0,12,4,1
P0154,budget_regular,0,10,20.9,0.153,4,26,1,0
P0155,premium_loyal,1,9,56.58,0.166,10,35,0,1
P0156,deal_seeker,0,4,33.46,0.481,1,8,3,3
P0157,budget_regular,0,7,5,0.184,3,29,1,2
P0158,premium_loyal,1,13,63.92,0.165,11,34,0,0
P0159,deal_seeker,0,3,38.3,0.448,0,8,3,3
P0160,budget_regular,0,8,15.42,0.264,3,16,3,0
P0161,premium_loyal,1,13,55.14,0.203,8,25,1,2
P0162,deal_seeker,0,4,25.7,0.333,0,5,3,2
P0163,budget_regular,0,11,23.67,0.13,6,23,2,1
P0164,premium_loyal,1,15,78.82,0.179,9,33,0,1
P0165,deal_seeker,0,1,35.03,0.423,0,4,2,2
P0166,budget_regular,0,7,19.92,0.207,5,23,2,0
P0167,premium_loyal,1,17,75.95,0.148,11,34,1,2
P0168,deal_seeker,0,4,34.03,0.374,0,8,3,3
P0169,budget_regular,0,11,27.85,0.121,4,26,1,0
P0170,premium_loyal,1,16,60.54,0.136,10,33,0,1
P0171,deal_seeker,0,4,19.84,0.405,0,4,2,2
P0172,budget_regular,1,7,43.88,0.136,4,17,1,1
P0173,premium_loyal,1,14,61.61,0.083,8,32,1,0
P0174,deal_seeker,0,6,32.33,0.365,0,18,2,1
P0175,budget_regular,0,7,30.38,0.05,7,20,1,1
P0176,premium_loyal,1,17,61.71,0.111,11,34,1,0
P0177,deal_seeker,0,1,36.45,0.326,1,3,5,2
P0178,budget_regular,0,12,30.65,0.214,5,17,2,1
P0179,premium_loyal,1,15,83.39,0.069,11,35,1,1
P0180,deal_seeker,0,5,26.05,0.417,2,12,3,2
P0181,budget_regular,0,10,15.27,0.287,5,25,2,1
P0182,premium_loyal,1,14,74.24,0.249,11,32,1,2
P0183,deal_seeker,0,2,32.41,0.345,2,7,3,2
P0184,budget_regular,0,8,15.45,0.229,6,15,3,2
P0185,premium_loyal,1,12,75.68,0.099,9,28,1,1
P0186,deal_seeker,0,4,32.7,0.422,0,14,3,3
P0187,budget_regular,0,10,21.32,0.142,5,21,2,1
P0188,premium_loyal,1,17,63.18,0.116,6,26,0,0
P0189,deal_seeker,0,2,25.97,0.409,2,6,4,3
P0190,budget_regular,0,10,26.59,0.071,7,28,2,1
P0191,premium_loyal,1,14,80.95,0.109,10,34,0,0
P0192,deal_seeker,0,7,36.88,0.34,4,15,3,2
P0193,budget_regular,0,6,5.12,0.273,5,17,1,1
P0194,premium_loyal,1,16,69.53,0.121,5,26,1,0
P0195,deal_seeker,0,2,30.58,0.322,1,6,2,3
P0196,budget_regular,0,8,19.06,0.102,1,15,1,1
P0197,premium_loyal,1,15,71.65,0.103,10,25,0,2
P0198,deal_seeker,0,5,26.29,0.376,0,9,3,1
P0199,budget_regular,0,8,16.94,0.134,7,22,2,1
P0200,premium_loyal,1,13,61.06,0.27,7,24,2,1
P0201,deal_seeker,0,6,39.85,0.385,1,12,4,2
P0202,budget_regular,0,9,32.23,0.119,4,22,2,2
P0203,premium_loyal,1,15,61.8,0.212,9,29,0,1
P0204,deal_seeker,0,4,36.2,0.379,2,15,2,2
P0205,budget_regular,0,14,20.48,0.225,2,19,2,1
P0206,premium_loyal,1,16,62.58,0.145,10,29,0,2
P0207,deal_seeker,0,7,20.79,0.44,3,18,2,3
P0208,budget_regular,0,9,17.63,0.124,6,25,0,2
P0209,premium_loyal,1,13,70.32,0.096,9,29,2,1
P0210,deal_seeker,0,2,37.81,0.409,0,15,3,2
P0211,budget_regular,0,9,22.79,0.158,5,19,3,2
P0212,premium_loyal,1,14,67.93,0.13,10,34,0,1
P0213,deal_seeker,0,5,40.25,0.317,4,11,2,2
P0214,budget_regular,0,11,23.57,0.285,8,26,2,1
P0215,premium_loyal,1,16,77.22,0.136,8,31,1,1
P0216,deal_seeker,0,2,48.97,0.389,0,14,3,1
P0217,budget_regular,0,11,17.06,0.265,7,34,0,2
P0218,premium_loyal,1,14,69.68,0.168,11,32,1,1
P0219,deal_seeker,0,5,36.99,0.523,2,10,3,2
P0220,budget_regular,0,15,30.01,0.217,4,25,3,2
P0221,premium_loyal,1,13,50.78,0.238,6,31,0,1
P0222,deal_seeker,0,5,26.34,0.377,1,13,3,1
P0223,budget_regular,0,11,27.64,0.155,7,19,1,1
P0224,premium_loyal,1,11,47.02,0.147,13,26,1,1
P0225,deal_seeker,0,5,42.11,0.355,2,14,2,2
P0226,budget_regular,0,14,29.06,0.124,3,20,1,0
P0227,premium_loyal,1,17,66.86,0.193,12,43,2,0
P0228,deal_seeker,0,3,25.46,0.368,0,9,2,1
P0229,budget_regular,0,10,16.8,0.187,3,20,2,0
