id,x1,x2,x3,continuous_outcome,binary_outcome
1,0.105,-0.18,1.339,15.695,0
2,-0.653,0.351,0.281,16.036,1
3,0.829,-0.727,0.867,23.157,1
4,1.892,1.649,0.845,23.239,0
5,0.294,1.481,0.083,14.415,0
6,-0.796,0.187,-0.072,15.865,1
7,1.07,0.734,0.303,19.254,1
8,1.209,0.891,0.426,22.036,0
9,-0.853,0.101,1.091,13.789,0
10,-1.309,-0.845,1.344,16.528,0
11,1.333,0.345,-1.637,27.308,1
12,-1.628,-1.218,-1.274,14.863,1
13,-1.121,-0.827,-1.28,17.861,0
14,-0.105,-0.194,1.497,15.99,0
15,-0.336,0.435,-0.853,19.754,0
16,-0.035,-0.32,0.915,22.364,1
17,0.549,1.695,-0.529,16.743,0
18,-0.553,-0.089,2.319,18.429,1
19,-0.369,-1.884,0.704,23.634,0
20,-0.171,-0.527,1.698,19.31,0
21,1.503,-0.047,-1.928,25.614,1
22,-1.637,-1.994,0.461,17.191,0
23,0.427,0.648,-0.73,19.146,0
24,-0.327,-0.515,0.276,16.822,1
25,-1.583,-1.25,-0.268,19.711,0
26,1.07,0.24,1.647,24.224,0
27,-0.009,0.147,-0.931,19.112,1
28,0.365,2.256,-0.574,17.201,1
29,-0.62,-0.828,0.356,23.223,0
30,0.736,1.376,1.06,20.456,0
31,0.088,0.91,-1.207,14.277,0
32,-0.98,-0.958,-1.121,17.689,1
33,0.511,0.695,-0.306,20.145,1
34,-1.443,0.9,0.387,11.376,0
35,0.204,0.388,2.109,23.562,0
36,1.167,-0.328,-1.15,21.917,1
37,0.13,-0.388,-1.498,17.643,1
38,-0.611,-0.061,0.294,16.805,1
39,-2.191,-0.94,-0.163,12.649,0
40,-0.138,-0.685,-0.265,21.434,1
41,0.548,0.33,0.015,21.468,0
42,-0.252,-0.964,-3.245,23.153,1
43,1.405,0.554,0.228,22.348,1
44,2.867,1.609,-1.064,29.683,1
45,-3.043,-1.374,0.626,17.275,0
46,3.014,1.615,0.459,28.685,1
47,-0.926,0.065,1.146,14.057,0
48,0.166,-0.665,0.847,19.672,0
49,-1.41,-0.093,0.56,14.029,0
50,-0.178,0.387,0.315,14.111,0
51,-1.031,0.48,-0.574,17.712,1
52,0.463,-0.07,0.983,17.265,0
53,-0.034,0.734,0.098,18.756,0
54,1.211,0.987,-0.531,21.955,1
55,-1.864,-1.124,0.409,12.347,0
56,1.103,0.893,-0.13,19.755,1
57,-0.41,-0.291,-1.872,19.586,0
58,-0.538,0.947,-1.088,14.348,1
59,-1.567,-0.976,-0.004,16.244,1
60,-0.364,-0.447,0.426,21.061,0
61,0.624,0.569,-0.49,22.03,1
62,-0.156,0.067,0.118,19.134,0
63,0.153,-0.742,1.595,23.988,1
64,-0.202,0.996,-0.453,17.301,1
65,0.612,0.676,-0.511,26.803,1
66,0.286,-0.189,-0.269,23.389,1
67,1.166,1.514,0.351,22.759,1
68,1.185,1.279,0.988,21.161,0
69,-0.226,-0.823,0.732,19.261,0
70,-1.245,-0.644,0.154,16.73,0
71,0.679,1.232,2.05,22.016,0
72,-0.685,-0.61,0.585,16.826,0
73,-0.833,-0.018,-1.042,15.925,1
74,-0.773,-1.769,0.208,20.848,1
75,-0.106,1.268,0.176,17.467,1
76,0.138,-0.68,-0.589,19.235,0
77,-0.442,1.164,1.624,18.574,1
78,-1.203,-0.623,1.445,15.769,0
79,0.204,-0.598,-1.597,23.976,1
80,0.565,-0.361,-0.461,19.189,0
81,-1.145,-0.783,-0.62,18.926,1
82,0.049,0.661,-0.428,18.838,0
83,-0.297,-0.728,-0.944,20.154,0
84,-0.236,1.214,-1.55,13.684,1
85,1.51,2.94,-2.554,19.985,1
86,1.221,1.685,1.139,18.276,1
87,0.36,-1.416,-1.532,24.166,1
